,ip,nb_qm,ratio_digits_url,ratio_digits_host,length_words_raw,shortest_word_host,longest_words_raw,longest_word_path,avg_word_host,avg_word_path,phish_hints,google_index,status
0,0,0,0.0,0.0,4,3,11,6,7.0,4.5,0,1,legitimate
1,1,0,0.220779221,0.0,4,19,32,32,19.0,14.66666667,0,1,phishing
2,1,1,0.150793651,0.0,12,3,17,17,8.4,8.142857142999999,0,1,phishing
3,0,0,0.0,0.0,1,5,5,0,5.0,0.0,0,0,legitimate
4,0,0,0.0,0.0,6,3,11,11,5.0,7.0,0,0,legitimate
5,0,0,0.0,0.0,4,3,7,0,4.5,0.0,0,1,phishing
6,0,0,0.0,0.0,2,3,5,0,4.0,0.0,0,0,legitimate
7,1,0,0.259259259,0.0,5,3,32,32,11.0,14.66666667,0,1,phishing
8,0,0,0.0,0.0,2,8,21,0,14.5,0.0,0,0,legitimate
9,0,0,0.076923077,0.0,14,6,10,10,6.0,5.538461538,1,0,legitimate
10,0,0,0.0,0.0,6,3,15,7,9.0,5.5,0,0,legitimate
11,0,0,0.186046512,0.0,6,3,8,6,5.5,3.75,0,0,legitimate
12,0,0,0.012048193,0.0,11,10,10,10,10.0,5.0,0,0,legitimate
13,0,0,0.064516129,0.0,3,4,8,8,4.0,6.0,0,1,phishing
14,0,0,0.0,0.0,2,3,8,0,5.5,0.0,0,0,legitimate
15,0,1,0.019607843,0.0,5,4,12,7,8.0,5.666666667,0,0,phishing
16,0,0,0.0,0.0,2,3,14,0,8.5,0.0,0,0,legitimate
17,0,0,0.06,0.0,5,4,12,8,8.0,6.333333333,0,1,phishing
18,0,0,0.0,0.0,3,3,15,2,9.0,2.0,0,1,phishing
19,0,0,0.148148148,0.210526316,2,3,11,0,7.0,0.0,0,0,legitimate
20,0,0,0.0,0.0,8,3,8,8,3.5,5.833333333,0,0,legitimate
21,0,0,0.0,0.0,8,4,9,9,5.5,6.0,0,0,legitimate
22,0,0,0.1,0.0,5,7,7,7,7.0,4.5,0,1,phishing
23,0,0,0.0,0.0,6,5,9,9,5.5,5.25,0,0,legitimate
24,1,1,0.095238095,0.0,13,3,17,17,8.4,7.375,0,1,phishing
25,0,0,0.0,0.0,2,8,19,0,13.5,0.0,0,1,phishing
26,0,0,0.0,0.0,2,3,19,0,11.0,0.0,0,0,legitimate
27,0,0,0.0,0.0,11,3,8,8,4.25,4.714285714,0,0,legitimate
28,1,0,0.161764706,0.0,6,3,15,15,8.75,8.5,0,1,phishing
29,1,0,0.398773006,0.0,17,3,18,18,5.0,8.4,1,1,phishing
30,0,0,0.0,0.0,2,3,10,0,6.5,0.0,0,0,legitimate
31,1,0,0.34375,0.0,4,3,32,32,6.0,19.0,0,1,phishing
32,1,0,0.25,0.321428571,4,1,11,0,5.25,0.0,0,1,phishing
33,0,0,0.0,0.0,7,10,10,10,10.0,5.666666667,0,1,phishing
34,1,1,0.212121212,0.0,6,5,21,21,6.0,9.25,0,0,legitimate
35,0,0,0.0,0.0,2,3,19,0,11.0,0.0,0,0,legitimate
36,0,0,0.0,0.0,16,20,20,10,20.0,4.466666667,0,0,phishing
37,0,0,0.0,0.0,6,2,6,0,4.166666667,0.0,0,0,legitimate
38,0,0,0.0,0.0,4,1,3,3,2.333333333,3.0,0,0,legitimate
39,0,0,0.0,0.0,3,5,7,0,6.0,0.0,1,0,legitimate
40,0,0,0.0,0.0,9,26,26,9,26.0,4.875,4,1,phishing
41,0,0,0.0,0.0,3,4,8,4,6.0,4.0,0,1,phishing
42,1,0,0.295918367,0.0,10,3,32,32,7.0,8.142857142999999,2,1,phishing
43,0,0,0.0,0.0,1,5,5,0,5.0,0.0,0,0,legitimate
44,0,0,0.0,0.0,8,4,13,9,8.5,5.0,0,0,legitimate
45,0,1,0.030534351,0.0,14,2,40,40,7.0,7.545454545,0,1,phishing
46,0,0,0.0,0.0,5,3,10,10,5.666666667,8.5,0,0,legitimate
47,0,0,0.0,0.0,3,13,14,10,13.5,10.0,0,1,phishing
48,0,0,0.133333333,0.0,6,3,9,9,3.0,5.5,0,0,legitimate
49,1,1,0.270440252,0.0,12,10,40,40,10.0,11.54545455,0,1,phishing
50,1,0,0.227272727,0.1363636359999999,4,3,14,7,8.5,5.5,0,1,phishing
51,0,1,0.077669903,0.0,9,4,44,44,7.0,9.857142857,0,1,phishing
52,0,0,0.0,0.0,7,4,7,7,5.0,3.75,0,1,phishing
53,0,0,0.0,0.0,5,2,10,10,5.5,6.0,0,0,legitimate
54,0,0,0.0,0.0,4,3,16,11,9.5,7.5,0,1,phishing
55,0,0,0.0,0.0,5,3,11,4,7.0,3.0,0,1,phishing
56,1,0,0.283950617,0.0,5,3,32,32,11.0,14.66666667,0,1,phishing
57,0,0,0.0,0.0,14,10,16,11,13.0,5.166666667,0,0,legitimate
